"filename", "language", "C++", "JSON", "YAML", "Markdown", "Swift", "XML", "HTML", "Properties", "Gradle", "Dart", "comment", "blank", "total"
"c:\Users\laabe\Documents\Code\windows_explorer\windows\flutter\generated_plugin_registrant.cc", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"c:\Users\laabe\Documents\Code\windows_explorer\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\laabe\Documents\Code\windows_explorer\windows\runner\flutter_window.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"c:\Users\laabe\Documents\Code\windows_explorer\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\laabe\Documents\Code\windows_explorer\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\laabe\Documents\Code\windows_explorer\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\laabe\Documents\Code\windows_explorer\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\laabe\Documents\Code\windows_explorer\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\laabe\Documents\Code\windows_explorer\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\laabe\Documents\Code\windows_explorer\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 550, 248, 27, 6, 44, 466, 38, 8, 89, 708, 287, 344, 2815
